f(Cortisol),g(Epinephrine),h(CRH),Arousal
1.51577,1.53966,0.95120,0.81837
1.51537,1.53569,0.94686,0.81542
1.51497,1.53176,0.94157,0.81217
1.51457,1.52785,0.93696,0.80915
1.51416,1.52398,0.93699,0.80766
1.51375,1.52013,0.93458,0.80538
1.51334,1.51632,0.93264,0.80327
1.51293,1.51253,0.93018,0.80099
1.51251,1.50878,0.92789,0.79878
1.51210,1.50506,0.92892,0.79767
1.51168,1.50136,0.92938,0.79638
1.51126,1.49770,0.93048,0.79532
1.51085,1.49406,0.93077,0.79400
1.51044,1.49045,0.93090,0.79263
1.51002,1.48687,0.93115,0.79132
1.50961,1.48332,0.93223,0.79029
1.50920,1.47980,0.93398,0.78948
1.50880,1.47630,0.93539,0.78858
1.50839,1.47283,0.93788,0.78804
1.50799,1.46939,0.93898,0.78706
1.50758,1.46597,0.93922,0.78580
1.50718,1.46259,0.93909,0.78443
1.50678,1.45922,0.94048,0.78357
1.50638,1.45589,0.94189,0.78273
1.50599,1.45257,0.94360,0.78199
1.50559,1.44929,0.94560,0.78136
1.50520,1.44603,0.94763,0.78075
1.50481,1.44279,0.94976,0.78018
1.50443,1.43958,0.95194,0.77963
1.50404,1.43640,0.95258,0.77860
1.50366,1.43323,0.95583,0.77842
1.50328,1.43010,0.95864,0.77811
1.50290,1.42698,0.96131,0.77776
1.50253,1.42389,0.96394,0.77741
1.50216,1.42083,0.96652,0.77706
1.50180,1.41779,0.96902,0.77668
1.50143,1.41477,0.97188,0.77643
1.50107,1.41178,0.97323,0.77571
1.50072,1.40881,0.97532,0.77523
1.50036,1.40586,0.97775,0.77487
1.50001,1.40294,0.98028,0.77455
1.49966,1.40005,0.98277,0.77423
1.49931,1.39718,0.98519,0.77390
1.49897,1.39433,0.98754,0.77355
1.49863,1.39151,0.98976,0.77318
1.49829,1.38871,0.99261,0.77301
1.49796,1.38594,0.99326,0.77214
1.49762,1.38319,0.99474,0.77155
1.49729,1.38046,0.99661,0.77109
1.49696,1.37776,0.99843,0.77063
1.49664,1.37507,1.00027,0.77018
1.49631,1.37241,1.00206,0.76972
1.49599,1.36977,1.00379,0.76925
1.49567,1.36716,1.00622,0.76902
1.49535,1.36457,1.00821,0.76866
1.49504,1.36200,1.00993,0.76821
1.49472,1.35946,1.01148,0.76772
1.49441,1.35694,1.01288,0.76719
1.49410,1.35444,1.01553,0.76708
1.49380,1.35197,1.01750,0.76675
1.49349,1.34952,1.01749,0.76579
1.49319,1.34708,1.01918,0.76538
1.49289,1.34467,1.02088,0.76499
1.49259,1.34228,1.02256,0.76460
1.49229,1.33991,1.02412,0.76418
1.49200,1.33756,1.02558,0.76373
1.49171,1.33523,1.02693,0.76326
1.49141,1.33292,1.02818,0.76276
1.49112,1.33063,1.02933,0.76223
1.49084,1.32836,1.03126,0.76197
1.49055,1.32612,1.03276,0.76158
1.49026,1.32389,1.03392,0.76108
1.48998,1.32169,1.03488,0.76053
1.48970,1.31950,1.03572,0.75994
1.48942,1.31733,1.03646,0.75933
1.48914,1.31518,1.03713,0.75870
1.48886,1.31304,1.03772,0.75805
1.48859,1.31093,1.03915,0.75768
1.48831,1.30883,1.04011,0.75717
1.48804,1.30675,1.04085,0.75659
1.48776,1.30469,1.04142,0.75596
