f(Cortisol),g(Epinephrine),h(CRH),Arousal
2.00115,1.31078,4.08624,5.40014
2.01367,1.31229,4.08676,5.43594
2.01367,1.31229,4.08676,5.43594
2.02618,1.31377,4.08735,5.47183
2.02618,1.31377,4.08735,5.47183
2.03870,1.31521,4.08786,5.50762
2.03870,1.31521,4.08786,5.50762
2.05121,1.31663,4.08825,5.54328
2.05121,1.31663,4.08825,5.54328
2.06373,1.31802,4.08852,5.57882
2.06373,1.31802,4.08852,5.57882
2.07625,1.31938,4.08872,5.61428
2.07625,1.31938,4.08872,5.61428
2.08876,1.32071,4.08996,5.65080
2.08876,1.32071,4.08996,5.65080
2.10128,1.32202,4.09064,5.68676
2.10128,1.32202,4.09064,5.68676
2.11380,1.32330,4.09096,5.72232
2.11380,1.32330,4.09096,5.72232
2.12631,1.32455,4.09112,5.75771
2.12631,1.32455,4.09112,5.75771
2.13883,1.32578,4.09123,5.79302
2.13883,1.32578,4.09123,5.79302
2.15134,1.32698,4.09132,5.82831
2.15134,1.32698,4.09132,5.82831
2.16385,1.32816,4.09139,5.86356
2.16385,1.32816,4.09139,5.86356
2.17636,1.32932,4.09149,5.89882
2.17636,1.32932,4.09149,5.89882
2.18886,1.33045,4.09162,5.93408
2.18886,1.33045,4.09162,5.93408
2.20137,1.33156,4.09176,5.96935
2.20137,1.33156,4.09176,5.96935
2.21386,1.33265,4.09191,6.00461
2.21386,1.33265,4.09191,6.00461
2.22636,1.33371,4.09207,6.03987
2.22636,1.33371,4.09207,6.03987
2.23885,1.33476,4.09223,6.07511
2.23885,1.33476,4.09223,6.07511
2.25134,1.33578,4.09237,6.11030
2.25134,1.33578,4.09237,6.11030
2.26382,1.33678,4.09252,6.14549
2.26382,1.33678,4.09252,6.14549
2.27631,1.33776,4.09268,6.18067
2.27631,1.33776,4.09268,6.18067
2.28878,1.33873,4.09286,6.21586
2.28878,1.33873,4.09286,6.21586
2.30126,1.33967,4.09295,6.25091
2.30126,1.33967,4.09295,6.25091
2.31372,1.34059,4.09301,6.28592
2.31372,1.34059,4.09301,6.28592
2.32619,1.34150,4.09311,6.32095
2.32619,1.34150,4.09311,6.32095
2.33865,1.34239,4.09321,6.35596
2.33865,1.34239,4.09321,6.35596
2.35110,1.34326,4.09332,6.39096
2.35110,1.34326,4.09332,6.39096
2.36355,1.34411,4.09344,6.42595
2.36355,1.34411,4.09344,6.42595
2.37599,1.34495,4.09358,6.46094
2.37599,1.34495,4.09358,6.46094
2.38843,1.34577,4.09376,6.49596
2.38843,1.34577,4.09376,6.49596
2.40086,1.34657,4.09394,6.53095
2.40086,1.34657,4.09394,6.53095
2.41329,1.34736,4.09411,6.56591
2.41329,1.34736,4.09411,6.56591
2.42571,1.34813,4.09428,6.60085
2.42571,1.34813,4.09428,6.60085
2.43812,1.34889,4.09446,6.63577
2.43812,1.34889,4.09446,6.63577
2.45053,1.34963,4.09463,6.67066
2.45053,1.34963,4.09463,6.67066
2.46293,1.35036,4.09481,6.70554
2.46293,1.35036,4.09481,6.70554
2.47533,1.35107,4.09500,6.74040
2.47533,1.35107,4.09500,6.74040
2.48772,1.35177,4.09518,6.77524
2.48772,1.35177,4.09518,6.77524
2.50010,1.35245,4.09541,6.81010
2.50010,1.35245,4.09541,6.81010
2.51248,1.35313,4.09562,6.84493
2.51248,1.35313,4.09562,6.84493
2.52485,1.35378,4.09582,6.87971
2.52485,1.35378,4.09582,6.87971
2.53721,1.35443,4.09602,6.91447
2.53721,1.35443,4.09602,6.91447
2.54957,1.35506,4.09622,6.94921
2.54957,1.35506,4.09622,6.94921
2.56192,1.35568,4.09642,6.98392
2.56192,1.35568,4.09642,6.98392
2.57426,1.35629,4.09663,7.01861
2.57426,1.35629,4.09663,7.01861
2.58659,1.35689,4.09684,7.05328
2.58659,1.35689,4.09684,7.05328
2.59892,1.35748,4.09708,7.08797
2.59892,1.35748,4.09708,7.08797
2.61123,1.35805,4.09731,7.12262
2.61123,1.35805,4.09731,7.12262
2.62354,1.35862,4.09754,7.15723
2.62354,1.35862,4.09754,7.15723
2.63585,1.35917,4.09776,7.19181
2.63585,1.35917,4.09776,7.19181
2.64814,1.35971,4.09798,7.22636
2.64814,1.35971,4.09798,7.22636
2.66042,1.36024,4.09820,7.26089
2.66042,1.36024,4.09820,7.26089
2.67270,1.36077,4.09843,7.29539
2.67270,1.36077,4.09843,7.29539
2.68497,1.36128,4.09869,7.32991
2.68497,1.36128,4.09869,7.32991
2.69723,1.36178,4.09893,7.36439
2.69723,1.36178,4.09893,7.36439
2.70948,1.36227,4.09918,7.39883
2.70948,1.36227,4.09918,7.39883
2.72172,1.36276,4.09941,7.43323
2.72172,1.36276,4.09941,7.43323
2.73395,1.36323,4.09966,7.46763
2.73395,1.36323,4.09966,7.46763
2.74617,1.36370,4.10070,7.50307
2.74617,1.36370,4.10070,7.50307
2.75839,1.36415,4.10185,7.53867
2.75839,1.36415,4.10185,7.53867
2.77060,1.36460,4.10287,7.57408
2.77060,1.36460,4.10287,7.57408
2.78280,1.36504,4.10377,7.60930
2.78280,1.36504,4.10377,7.60930
2.79500,1.36548,4.10451,7.64429
2.79500,1.36548,4.10451,7.64429
2.80718,1.36590,4.10515,7.67912
2.80718,1.36590,4.10515,7.67912
2.81936,1.36632,4.10571,7.71381
2.81936,1.36632,4.10571,7.71381
2.83153,1.36673,4.10622,7.74840
2.83153,1.36673,4.10622,7.74840
2.84369,1.36713,4.10671,7.78295
2.84369,1.36713,4.10671,7.78295
2.85585,1.36752,4.10713,7.81737
2.85585,1.36752,4.10713,7.81737
2.86799,1.36791,4.10757,7.85180
2.86799,1.36791,4.10757,7.85180
2.88012,1.36829,4.10792,7.88605
2.88012,1.36829,4.10792,7.88605
2.89224,1.36866,4.10823,7.92023
2.89224,1.36866,4.10823,7.92023
2.90435,1.36903,4.10854,7.95437
2.90435,1.36903,4.10854,7.95437
2.91645,1.36939,4.10886,7.98849
2.91645,1.36939,4.10886,7.98849
2.92853,1.36974,4.10918,8.02260
2.92853,1.36974,4.10918,8.02260
2.94061,1.37009,4.10952,8.05668
2.94061,1.37009,4.10952,8.05668
2.95268,1.37043,4.10986,8.09075
2.95268,1.37043,4.10986,8.09075
2.96473,1.37076,4.11020,8.12478
2.96473,1.37076,4.11020,8.12478
2.97677,1.37109,4.11055,8.15879
2.97677,1.37109,4.11055,8.15879
2.98880,1.37142,4.11090,8.19276
2.98880,1.37142,4.11090,8.19276
3.00082,1.37173,4.11124,8.22670
3.00082,1.37173,4.11124,8.22670
3.01283,1.37205,4.11155,8.26056
3.01283,1.37205,4.11155,8.26056
3.02482,1.37235,4.11188,8.29440
3.02482,1.37235,4.11188,8.29440
3.03680,1.37266,4.11222,8.32823
3.03680,1.37266,4.11222,8.32823
3.04877,1.37295,4.11256,8.36202
3.04877,1.37295,4.11256,8.36202
3.06073,1.37324,4.11290,8.39579
3.06073,1.37324,4.11290,8.39579
3.07267,1.37353,4.11324,8.42952
3.07267,1.37353,4.11324,8.42952
3.08461,1.37381,4.11361,8.46326
3.08461,1.37381,4.11361,8.46326
3.09653,1.37409,4.11397,8.49694
3.09653,1.37409,4.11397,8.49694
3.10843,1.37436,4.11428,8.53053
3.10843,1.37436,4.11428,8.53053
3.12032,1.37463,4.11461,8.56409
3.12032,1.37463,4.11461,8.56409
3.13220,1.37490,4.11494,8.59763
3.13220,1.37490,4.11494,8.59763
3.14407,1.37515,4.11528,8.63114
3.14407,1.37515,4.11528,8.63114
3.15592,1.37541,4.11561,8.66461
3.15592,1.37541,4.11561,8.66461
3.16776,1.37566,4.11595,8.69805
3.16776,1.37566,4.11595,8.69805
3.17959,1.37591,4.11628,8.73144
3.17959,1.37591,4.11628,8.73144
3.19140,1.37615,4.11662,8.76481
3.19140,1.37615,4.11662,8.76481
3.20320,1.37639,4.11696,8.79813
3.20320,1.37639,4.11696,8.79813
3.21498,1.37663,4.11730,8.83142
3.21498,1.37663,4.11730,8.83142
3.22675,1.37686,4.11764,8.86468
3.22675,1.37686,4.11764,8.86468
3.23851,1.37709,4.11794,8.89784
3.23851,1.37709,4.11794,8.89784
3.25025,1.37731,4.11826,8.93098
3.25025,1.37731,4.11826,8.93098
3.26197,1.37753,4.11874,8.96435
3.26197,1.37753,4.11874,8.96435
3.27369,1.37775,4.11917,8.99759
3.27369,1.37775,4.11917,8.99759
3.28538,1.37797,4.11953,9.03067
3.28538,1.37797,4.11953,9.03067
3.29707,1.37818,4.11987,9.06371
3.29707,1.37818,4.11987,9.06371
3.30874,1.37839,4.12021,9.09669
3.30874,1.37839,4.12021,9.09669
3.32039,1.37859,4.12055,9.12963
3.32039,1.37859,4.12055,9.12963
3.33203,1.37880,4.12414,9.16795
3.33203,1.37880,4.12414,9.16795
3.34366,1.37900,4.12603,9.20345
3.34366,1.37900,4.12603,9.20345
3.35529,1.37919,4.12716,9.23769
3.35529,1.37919,4.12716,9.23769
3.36690,1.37939,4.12795,9.27133
3.36690,1.37939,4.12795,9.27133
3.37850,1.37958,4.12859,9.30467
3.37850,1.37958,4.12859,9.30467
3.39009,1.37977,4.12917,9.33789
3.39009,1.37977,4.12917,9.33789
3.40166,1.37995,4.12963,9.37085
3.40166,1.37995,4.12963,9.37085
3.41322,1.38014,4.13007,9.40375
3.41322,1.38014,4.13007,9.40375
3.42476,1.38032,4.13052,9.43664
3.42476,1.38032,4.13052,9.43664
3.43628,1.38049,4.13096,9.46945
3.43628,1.38049,4.13096,9.46945
3.44779,1.38067,4.13142,9.50226
3.44779,1.38067,4.13142,9.50226
3.45929,1.38084,4.13190,9.53506
3.45929,1.38084,4.13190,9.53506
3.47076,1.38101,4.13234,9.56775
3.47076,1.38101,4.13234,9.56775
3.48222,1.38118,4.13279,9.60044
3.48222,1.38118,4.13279,9.60044
3.49367,1.38135,4.13326,9.63309
3.49367,1.38135,4.13326,9.63309
3.50510,1.38151,4.13368,9.66563
3.50510,1.38151,4.13368,9.66563
3.51651,1.38168,4.13411,9.69815
3.51651,1.38168,4.13411,9.69815
3.52790,1.38184,4.13455,9.73063
3.52790,1.38184,4.13455,9.73063
3.53928,1.38199,4.13495,9.76299
3.53928,1.38199,4.13495,9.76299
3.55064,1.38215,4.13536,9.79534
3.55064,1.38215,4.13536,9.79534
3.56199,1.38231,4.13578,9.82765
3.56199,1.38231,4.13578,9.82765
3.57332,1.38246,4.13615,9.85985
3.57332,1.38246,4.13615,9.85985
3.58462,1.38261,4.13655,9.89203
