f(Cortisol),g(Epinephrine),h(CRH),Arousal
1.48022,1.32124,1.07572,1.32548
1.47999,1.31919,1.07631,1.32446
1.47976,1.31716,1.07678,1.32339
1.47953,1.31515,1.07718,1.32228
1.47930,1.31315,1.07744,1.32111
1.47907,1.31117,1.07764,1.31991
1.47884,1.30920,1.07866,1.31918
1.47861,1.30726,1.07917,1.31818
1.47838,1.30533,1.07939,1.31702
1.47815,1.30341,1.07944,1.31578
1.47792,1.30151,1.07938,1.31449
1.47770,1.29962,1.07923,1.31316
1.47747,1.29774,1.07905,1.31182
1.47724,1.29587,1.07882,1.31045
1.47701,1.29402,1.07945,1.30957
1.47679,1.29218,1.07964,1.30846
1.47656,1.29036,1.07956,1.30721
1.47634,1.28855,1.07935,1.30588
1.47611,1.28675,1.07904,1.30452
1.47588,1.28496,1.07868,1.30313
1.47566,1.28319,1.07826,1.30171
1.47543,1.28142,1.07784,1.30030
1.47520,1.27966,1.07832,1.29939
1.47498,1.27792,1.07837,1.29826
1.47475,1.27619,1.07815,1.29698
1.47453,1.27448,1.07779,1.29563
1.47430,1.27277,1.07738,1.29427
1.47407,1.27108,1.07693,1.29288
1.47385,1.26939,1.07644,1.29147
1.47362,1.26771,1.07594,1.29007
1.47339,1.26604,1.07636,1.28918
1.47317,1.26439,1.07630,1.28803
1.47294,1.26274,1.07601,1.28677
1.47271,1.26111,1.07559,1.28544
1.47248,1.25949,1.07515,1.28410
1.47226,1.25787,1.07467,1.28274
1.47203,1.25627,1.07416,1.28137
1.47180,1.25467,1.07366,1.28002
1.47157,1.25308,1.07406,1.27916
1.47135,1.25150,1.07400,1.27806
1.47112,1.24994,1.07372,1.27684
1.47089,1.24838,1.07331,1.27556
1.47066,1.24683,1.07289,1.27427
1.47043,1.24530,1.07245,1.27298
1.47021,1.24376,1.07200,1.27170
1.46998,1.24224,1.07160,1.27043
1.46975,1.24073,1.07121,1.26919
1.46952,1.23922,1.07083,1.26795
1.46929,1.23772,1.07047,1.26673
1.46906,1.23623,1.07105,1.26602
1.46883,1.23476,1.07124,1.26512
1.46860,1.23329,1.07124,1.26411
1.46837,1.23184,1.07117,1.26308
1.46814,1.23040,1.07108,1.26203
1.46792,1.22897,1.07099,1.26100
1.46769,1.22754,1.07091,1.25997
1.46746,1.22613,1.07084,1.25896
1.46723,1.22472,1.07077,1.25795
1.46700,1.22332,1.07076,1.25698
1.46926,1.22577,3.06481,2.35450
1.47097,1.22819,2.95190,2.29653
1.47262,1.23058,2.90828,2.27642
1.47423,1.23294,2.88965,2.26994
1.47583,1.23528,2.88120,2.26903
1.47741,1.23759,2.86633,2.26453
1.47899,1.23988,2.84161,2.25454
1.48053,1.24214,2.81847,2.24535
1.48206,1.24439,2.79280,2.23469
1.48357,1.24660,2.77693,2.22938
1.48505,1.24880,2.75799,2.22232
1.48652,1.25097,2.72741,2.20873
1.48796,1.25312,2.69476,2.19392
1.48937,1.25524,2.66617,2.18126
1.49075,1.25735,2.64860,2.17467
1.49212,1.25943,2.62758,2.16610
1.49346,1.26149,2.60479,2.15648
1.49478,1.26353,2.58163,2.14659
1.49608,1.26555,2.54218,2.12753
1.49734,1.26755,2.51209,2.11361
1.49858,1.26953,2.48318,2.10027
1.49978,1.27148,2.45573,2.08767
1.50096,1.27342,2.42973,2.07581
1.50211,1.27534,2.41258,2.06885
1.50324,1.27724,2.39229,2.06008
1.50436,1.27912,2.37197,2.05124
1.50545,1.28099,2.35155,2.04229
1.50652,1.28283,2.32158,2.02791
1.50757,1.28466,2.30146,2.01901
1.50859,1.28646,2.28084,2.00978
1.50959,1.28825,2.25720,1.99878
1.51057,1.29003,2.23521,1.98867
1.50994,1.28766,0.90501,1.23642
1.50951,1.28531,0.91366,1.23961
1.50907,1.28299,0.91431,1.23830
1.50864,1.28069,0.91444,1.23672
1.50821,1.27840,0.91453,1.23513
1.50778,1.27614,0.91478,1.23364
1.50735,1.27389,0.91531,1.23231
1.50692,1.27167,0.91669,1.23148
1.50650,1.26946,0.91951,1.23147
1.50607,1.26727,0.92141,1.23096
1.50565,1.26510,0.92288,1.23021
1.50523,1.26294,0.92421,1.22940
1.50482,1.26080,0.92694,1.22939
1.50440,1.25868,0.92895,1.22899
1.50399,1.25658,0.93249,1.22946
1.50359,1.25450,0.93229,1.22784
1.50318,1.25243,0.93337,1.22694
1.50278,1.25037,0.93562,1.22672
1.50238,1.24834,0.93760,1.22636
1.50198,1.24632,0.94057,1.22656
1.50158,1.24432,0.94543,1.22783
1.50119,1.24233,0.94866,1.22821
1.50081,1.24036,0.95179,1.22854
1.50042,1.23840,0.95168,1.22706
1.50004,1.23647,0.95291,1.22635
1.49966,1.23454,0.95471,1.22597
1.49928,1.23263,0.95680,1.22575
1.49891,1.23074,0.96118,1.22683
1.49854,1.22886,0.96438,1.22726
1.49817,1.22700,0.96739,1.22760
1.49781,1.22515,0.96745,1.22630
1.49745,1.22332,0.96853,1.22558
1.49709,1.22150,0.97010,1.22514
1.49673,1.21970,0.97184,1.22481
1.49637,1.21792,0.97420,1.22483
1.49602,1.21615,0.97619,1.22467
1.49567,1.21440,0.97797,1.22439
1.49532,1.21267,0.98107,1.22486
1.49497,1.21096,0.98367,1.22507
1.49463,1.20927,0.98359,1.22380
1.49429,1.20758,0.98534,1.22355
1.49395,1.20592,0.98727,1.22341
1.49361,1.20427,0.98925,1.22332
1.49328,1.20264,0.99125,1.22325
1.49295,1.20103,0.99317,1.22314
1.49262,1.19944,0.99497,1.22298
1.49229,1.19786,0.99668,1.22278
1.49196,1.19630,0.99910,1.22299
1.49164,1.19476,1.00111,1.22299
1.49132,1.19324,1.00081,1.22170
1.49100,1.19172,1.00157,1.22102
1.49068,1.19022,1.00283,1.22061
1.49037,1.18873,1.00427,1.22032
1.49005,1.18726,1.00574,1.22005
1.48974,1.18580,1.00796,1.22021
1.48943,1.18436,1.00973,1.22014
1.48912,1.18293,1.01127,1.21995
1.48881,1.18152,1.01264,1.21967
1.48850,1.18013,1.01388,1.21933
1.48820,1.17875,1.01501,1.21894
1.48790,1.17739,1.01602,1.21849
1.48760,1.17603,1.01696,1.21801
1.48730,1.17469,1.01867,1.21797
1.48700,1.17337,1.01993,1.21768
1.48671,1.17206,1.02090,1.21725
1.48641,1.17077,1.02171,1.21673
1.48612,1.16949,1.02243,1.21618
1.48583,1.16822,1.02119,1.21454
1.48553,1.16695,1.02112,1.21355
1.48524,1.16568,1.02298,1.21364
1.48495,1.16443,1.02501,1.21383
1.48466,1.16320,1.02643,1.21370
1.48438,1.16198,1.02750,1.21337
1.48409,1.16078,1.02840,1.21296
1.48381,1.15958,1.02917,1.21250
1.48352,1.15840,1.02986,1.21199
1.48324,1.15723,1.03047,1.21144
1.48296,1.15607,1.03103,1.21087
1.48268,1.15492,1.03230,1.21071
1.48240,1.15378,1.03314,1.21031
1.48213,1.15266,1.03375,1.20980
1.48185,1.15155,1.03421,1.20921
1.48157,1.15044,1.03458,1.20857
1.48130,1.14935,1.03488,1.20790
1.48102,1.14826,1.03512,1.20720
1.48075,1.14718,1.03531,1.20649
1.48048,1.14611,1.03620,1.20616
1.48021,1.14506,1.03670,1.20562
1.47590,1.12689,1.06459,1.20740
1.47568,1.12592,1.11508,1.23449
1.47550,1.12546,1.10806,1.23022
1.47530,1.12503,1.09310,1.22157
1.47510,1.12453,1.08578,1.21709
1.47488,1.12398,1.07826,1.21247
1.47466,1.12339,1.07354,1.20936
1.47443,1.12278,1.06781,1.20568
1.47420,1.12213,1.06193,1.20189
1.47396,1.12144,1.05643,1.19828
1.47372,1.12072,1.05398,1.19634
1.47347,1.12000,1.05118,1.19419
1.47322,1.11926,1.04788,1.19177
1.47296,1.11851,1.04463,1.18935
1.47271,1.11773,1.04155,1.18702
1.47245,1.11695,1.03881,1.18487
1.47219,1.11615,1.03858,1.18409
1.47192,1.11536,1.03730,1.18273
1.47166,1.11456,1.03560,1.18115
1.47139,1.11376,1.03385,1.17953
1.47113,1.11296,1.03221,1.17797
1.47086,1.11215,1.03116,1.17673
1.47059,1.11134,1.03006,1.17546
1.47032,1.11053,1.02901,1.17422
1.47005,1.10972,1.02805,1.17303
1.46977,1.10891,1.02720,1.17189
1.46950,1.10810,1.02645,1.17081
1.46923,1.10729,1.02579,1.16978
1.46895,1.10648,1.02521,1.16880
1.46868,1.10567,1.02471,1.16786
1.46840,1.10486,1.02428,1.16696
1.46813,1.10406,1.02390,1.16609
1.46785,1.10326,1.02605,1.16660
1.46758,1.10248,1.02676,1.16635
1.46731,1.10170,1.02674,1.16569
1.46704,1.10094,1.02642,1.16487
1.46909,1.10396,2.83639,2.16063
1.47060,1.10696,2.75168,2.11798
1.47207,1.10992,2.72407,2.10655
1.47351,1.11285,2.70980,2.10237
1.47494,1.11575,2.69495,2.09782
1.47636,1.11863,2.68007,2.09321
1.47776,1.12148,2.66513,2.08852
1.47914,1.12430,2.65060,2.08401
1.48051,1.12710,2.63344,2.07799
1.48187,1.12987,2.61720,2.07243
1.48321,1.13261,2.60836,2.07093
1.48454,1.13533,2.58193,2.05963
1.48584,1.13802,2.55756,2.04941
1.48712,1.14069,2.53493,2.04009
1.48838,1.14333,2.51061,2.02977
1.48961,1.14595,2.49524,2.02436
1.49083,1.14855,2.47724,2.01744
1.49203,1.15112,2.45756,2.00952
1.49322,1.15366,2.42617,1.99503
1.49437,1.15619,2.39597,1.98113
1.49549,1.15869,2.37662,1.97321
1.49659,1.16117,2.35556,1.96427
1.49768,1.16362,2.33413,1.95508
1.49710,1.16209,0.92072,1.16374
1.49670,1.16057,0.92750,1.16636
1.49629,1.15907,0.92663,1.16472
1.49589,1.15759,0.92519,1.16277
1.49549,1.15611,0.92437,1.16117
1.49508,1.15465,0.92366,1.15964
1.49468,1.15320,0.92327,1.15830
1.49427,1.15177,0.92300,1.15703
1.49387,1.15035,0.92301,1.15592
1.49346,1.14893,0.92330,1.15498
1.49306,1.14753,0.92384,1.15419
1.49266,1.14615,0.92575,1.15416
1.49226,1.14477,0.92889,1.15483
1.49186,1.14341,0.93073,1.15478
1.49147,1.14206,0.93228,1.15458
1.49107,1.14072,0.93430,1.15465
1.49068,1.13939,0.93634,1.15474
1.49030,1.13807,0.93972,1.15558
1.48991,1.13676,0.94204,1.15585
1.48953,1.13547,0.94394,1.15588
1.48916,1.13418,0.94630,1.15619
1.48878,1.13291,0.94819,1.15623
1.48841,1.13164,0.94796,1.15511
1.48804,1.13039,0.95171,1.15620
1.48767,1.12915,0.95428,1.15665
1.48731,1.12792,0.95639,1.15685
1.48694,1.12670,0.95890,1.15728
1.48659,1.12548,0.96098,1.15747
1.48623,1.12428,0.96322,1.15777
1.48588,1.12309,0.96512,1.15788
1.48552,1.12191,0.96436,1.15653
1.48517,1.12074,0.96653,1.15680
1.48482,1.11957,0.96857,1.15701
1.48448,1.11842,0.97091,1.15739
1.48413,1.11728,0.97288,1.15758
1.48379,1.11615,0.97496,1.15784
1.48345,1.11503,0.97675,1.15794
1.48312,1.11392,0.97838,1.15796
1.48278,1.11282,0.97990,1.15793
1.48245,1.11174,0.97920,1.15667
1.48212,1.11066,0.97973,1.15611
1.48179,1.10959,0.98084,1.15587
1.48146,1.10853,0.98218,1.15576
1.48113,1.10748,0.98537,1.15668
1.48080,1.10645,0.98774,1.15716
1.48048,1.10543,0.98965,1.15740
1.48016,1.10442,0.99127,1.15748
1.47984,1.10343,0.99273,1.15749
1.47953,1.10245,0.99410,1.15745
1.47921,1.10148,0.99323,1.15618
1.47890,1.10051,0.99361,1.15561
1.47858,1.09955,0.99432,1.15522
1.47827,1.09860,0.99528,1.15498
1.47796,1.09766,0.99641,1.15484
1.47765,1.09673,0.99757,1.15472
1.47734,1.09581,0.99869,1.15458
1.47703,1.09491,0.99979,1.15444
1.47673,1.09401,1.00085,1.15428
1.47642,1.09312,1.00183,1.15409
1.47612,1.09224,1.00276,1.15388
1.47582,1.09137,1.00363,1.15364
1.47552,1.09051,1.00447,1.15339
1.47746,1.09351,2.74047,2.11357
1.47888,1.09649,2.66351,2.07478
1.48026,1.09943,2.65097,2.07141
1.48164,1.10235,2.64371,2.07092
1.48300,1.10523,2.63772,2.07109
1.48436,1.10809,2.63912,2.07534
1.48571,1.11093,2.63606,2.07711
1.48707,1.11374,2.62989,2.07713
1.48842,1.11652,2.62180,2.07605
1.48975,1.11928,2.60420,2.06966
1.49108,1.12201,2.58833,2.06418
1.49238,1.12471,2.56995,2.05725
1.49367,1.12740,2.55309,2.05112
1.49494,1.13005,2.53736,2.04557
1.49620,1.13269,2.52217,2.04027
1.49744,1.13530,2.50158,2.03191
1.49866,1.13789,2.48086,2.02342
1.49986,1.14045,2.46043,2.01504
1.50104,1.14299,2.44035,2.00679
1.50220,1.14551,2.42080,1.99879
1.50334,1.14800,2.40754,1.99426
1.50278,1.14654,0.92818,1.16324
1.50238,1.14510,0.93564,1.16630
1.50198,1.14367,0.93551,1.16512
1.50159,1.14226,0.93476,1.16359
1.50119,1.14085,0.93404,1.16209
1.50080,1.13946,0.93360,1.16076
1.50040,1.13808,0.93328,1.15949
1.50001,1.13672,0.93321,1.15838
1.49961,1.13536,0.93337,1.15741
1.49922,1.13402,0.93550,1.15753
1.49882,1.13269,0.93685,1.15724
1.49843,1.13137,0.93792,1.15679
1.49804,1.13006,0.93922,1.15648
1.49766,1.12876,0.94036,1.15609
1.49727,1.12747,0.94148,1.15569
1.49689,1.12620,0.94339,1.15575
1.49651,1.12494,0.94666,1.15657
1.49613,1.12368,0.94881,1.15677
1.49575,1.12244,0.95050,1.15673
1.49538,1.12121,0.95208,1.15663
1.49501,1.11999,0.95350,1.15646
1.49464,1.11878,0.95318,1.15531
1.49427,1.11758,0.95400,1.15481
1.49391,1.11639,0.95694,1.15550
1.49354,1.11521,0.95902,1.15571
1.49318,1.11404,0.96073,1.15573
1.49282,1.11288,0.96214,1.15559
1.49246,1.11173,0.96343,1.15538
1.49211,1.11059,0.96518,1.15544
1.49176,1.10946,0.96668,1.15537
1.49140,1.10834,0.96801,1.15521
1.49105,1.10723,0.96927,1.15502
1.49071,1.10613,0.96826,1.15357
1.49036,1.10504,0.97012,1.15372
1.49001,1.10396,0.97183,1.15380
1.48967,1.10289,0.97349,1.15386
1.48932,1.10183,0.97502,1.15385
1.48898,1.10078,0.97646,1.15380
1.48864,1.09974,0.97936,1.15456
1.48831,1.09872,0.98148,1.15491
1.48798,1.09770,0.98315,1.15501
1.48765,1.09670,0.98457,1.15498
1.48732,1.09571,0.98360,1.15363
1.48699,1.09473,0.98383,1.15296
1.48666,1.09376,0.98464,1.15261
1.48633,1.09279,0.98570,1.15240
1.48601,1.09184,0.98689,1.15227
1.48568,1.09089,0.98805,1.15213
1.48536,1.08996,0.98920,1.15200
1.48504,1.08904,0.99030,1.15184
1.48472,1.08812,0.99137,1.15168
1.48440,1.08722,0.99237,1.15148
1.48408,1.08633,0.99334,1.15128
1.48377,1.08545,0.99429,1.15107
1.48345,1.08458,0.99662,1.15162
1.48314,1.08372,0.99825,1.15181
1.48283,1.08287,0.99948,1.15177
1.48252,1.08204,0.99838,1.15046
1.48221,1.08121,0.99837,1.14975
1.48190,1.08038,0.99895,1.14937
1.48160,1.07956,0.99948,1.14896
1.48129,1.07875,1.00017,1.14865
1.48098,1.07795,1.00095,1.14840
1.48068,1.07715,1.00175,1.14816
1.48037,1.07636,1.00255,1.14793
1.48007,1.07559,1.00333,1.14769
1.47977,1.07482,1.00408,1.14744
1.47947,1.07406,1.00478,1.14717
1.47917,1.07330,1.00544,1.14688
1.47887,1.07256,1.00606,1.14657
1.47857,1.07182,1.00663,1.14625
1.47827,1.07109,1.00717,1.14591
1.47798,1.07037,1.00768,1.14556
1.47768,1.06966,1.00813,1.14518
1.47739,1.06895,1.00854,1.14478
1.47709,1.06825,1.00892,1.14438
1.47680,1.06756,1.00927,1.14396
1.47651,1.06687,1.00959,1.14352
1.47622,1.06619,1.00988,1.14308
1.47593,1.06551,1.01016,1.14263
1.47564,1.06484,1.01040,1.14216
1.47534,1.06418,1.01062,1.14169
1.47505,1.06353,1.01083,1.14121
1.47477,1.06287,1.01101,1.14073
1.47448,1.06223,1.01117,1.14023
1.47419,1.06159,1.01131,1.13973
1.47390,1.06096,1.01145,1.13923
1.47361,1.06033,1.01156,1.13872
1.47332,1.05970,1.01166,1.13821
1.47304,1.05908,1.01174,1.13768
1.47275,1.05847,1.01182,1.13716
1.47246,1.05786,1.01188,1.13664
1.47218,1.05726,1.01193,1.13611
1.47189,1.05666,1.01196,1.13557
1.47161,1.05606,1.01199,1.13504
1.47132,1.05547,1.01200,1.13450
1.47104,1.05489,1.01202,1.13396
1.47075,1.05431,1.01201,1.13341
1.47047,1.05373,1.01204,1.13289
1.47018,1.05316,1.01206,1.13236
1.46990,1.05259,1.01206,1.13183
1.46962,1.05202,1.01205,1.13129
1.46933,1.05146,1.01204,1.13075
1.46905,1.05091,1.01201,1.13021
1.46442,1.04128,1.08449,1.16090
1.46422,1.04125,1.07434,1.15518
1.46401,1.04119,1.06763,1.15131
1.46379,1.04109,1.06077,1.14734
1.46356,1.04093,1.05682,1.14491
1.46333,1.04075,1.05159,1.14177
1.46309,1.04053,1.04610,1.13847
1.46285,1.04027,1.04334,1.13663
1.46261,1.03999,1.03975,1.13432
1.46236,1.03969,1.03594,1.13189
1.46211,1.03937,1.03235,1.12955
1.46185,1.03902,1.02907,1.12737
1.46159,1.03865,1.02880,1.12682
1.46133,1.03829,1.02731,1.12561
1.46107,1.03791,1.02538,1.12415
1.46081,1.03753,1.02346,1.12268
1.46055,1.03714,1.02169,1.12130
1.46028,1.03674,1.02012,1.12002
1.46002,1.03633,1.01868,1.11880
1.45975,1.03592,1.01745,1.11770
1.45948,1.03550,1.01640,1.11669
1.45921,1.03508,1.01784,1.11704
1.45894,1.03467,1.01799,1.11669
1.45867,1.03427,1.01751,1.11599
1.45840,1.03386,1.01680,1.11517
1.45813,1.03345,1.01607,1.11435
1.45786,1.03304,1.01540,1.11355
1.45759,1.03263,1.01479,1.11278
1.45732,1.03222,1.01425,1.11206
1.45705,1.03181,1.01378,1.11137
1.45678,1.03140,1.01336,1.11071
1.45651,1.03099,1.01300,1.11008
1.45624,1.03058,1.01268,1.10947
1.45597,1.03017,1.01241,1.10889
1.45569,1.02977,1.01213,1.10831
1.45542,1.02936,1.01190,1.10775
1.45515,1.02896,1.01166,1.10719
1.45488,1.02855,1.01148,1.10666
1.45461,1.02815,1.01134,1.10616
1.45433,1.02775,1.01124,1.10568
1.45406,1.02736,1.01112,1.10518
1.45379,1.02696,1.01103,1.10471
1.45352,1.02657,1.01096,1.10425
1.45325,1.02618,1.01090,1.10379
1.45298,1.02579,1.01083,1.10334
1.45271,1.02540,1.01079,1.10289
1.45243,1.02502,1.01076,1.10246
1.45216,1.02463,1.01075,1.10204
1.45189,1.02425,1.01072,1.10160
1.45162,1.02388,1.01071,1.10118
1.45135,1.02350,1.01072,1.10078
1.45108,1.02313,1.01074,1.10038
1.45081,1.02276,1.01075,1.09998
1.45055,1.02239,1.01077,1.09958
1.45028,1.02203,1.01081,1.09920
1.45001,1.02166,1.01087,1.09882
1.44974,1.02130,1.01091,1.09844
1.44947,1.02094,1.01096,1.09807
1.44920,1.02059,1.01103,1.09771
1.44893,1.02023,1.01111,1.09735
1.44867,1.01988,1.01117,1.09699
1.44840,1.01953,1.01124,1.09663
1.44813,1.01919,1.01133,1.09629
1.44787,1.01885,1.01142,1.09594
1.44760,1.01850,1.01150,1.09560
1.44734,1.01817,1.01158,1.09525
1.44707,1.01783,1.01168,1.09492
1.44680,1.01750,1.01178,1.09459
1.44654,1.01716,1.01189,1.09426
1.44627,1.01684,1.01197,1.09392
1.44601,1.01651,1.01206,1.09359
1.44575,1.01619,1.01215,1.09327
1.44548,1.01586,1.01225,1.09294
1.44522,1.01554,1.01236,1.09262
1.44496,1.01523,1.01244,1.09230
1.44469,1.01491,1.01253,1.09197
1.44443,1.01460,1.01262,1.09165
1.44417,1.01429,1.01271,1.09133
1.44391,1.01398,1.01281,1.09101
1.44365,1.01368,1.01291,1.09070
1.44339,1.01337,1.01298,1.09037
1.44312,1.01307,1.01305,1.09005
1.44286,1.01277,1.01313,1.08973
1.44260,1.01248,1.01321,1.08941
1.44234,1.01218,1.01330,1.08910
1.44208,1.01189,1.01337,1.08878
1.44182,1.01160,1.01349,1.08849
1.44157,1.01131,1.01357,1.08818
1.44131,1.01102,1.01360,1.08784
1.44105,1.01074,1.01362,1.08750
1.44079,1.01046,1.01363,1.08715
1.44053,1.01018,1.01364,1.08681
1.44027,1.00990,1.01366,1.08647
1.44002,1.00962,1.01367,1.08613
1.43976,1.00934,1.01368,1.08579
1.43950,1.00907,1.01370,1.08545
1.43925,1.00880,1.01367,1.08509
1.43899,1.00853,1.01364,1.08474
1.43873,1.00826,1.01362,1.08438
1.43848,1.00799,1.01361,1.08403
1.43822,1.00772,1.01360,1.08369
1.43796,1.00746,1.01359,1.08335
1.43771,1.00720,1.01358,1.08300
1.43745,1.00693,1.01358,1.08266
1.43720,1.00667,1.01357,1.08232
1.43694,1.00642,1.01353,1.08197
1.43669,1.00616,1.01350,1.08162
1.43643,1.00590,1.01348,1.08128
1.43618,1.00565,1.01347,1.08094
1.43592,1.00540,1.01346,1.08060
1.43567,1.00515,1.01166,1.07931
1.43541,1.00489,1.01069,1.07845
1.43516,1.00463,1.01016,1.07783
1.43490,1.00437,1.00988,1.07735
1.43464,1.00411,1.00969,1.07691
1.43439,1.00385,1.00955,1.07650
1.43413,1.00359,1.00943,1.07610
1.43387,1.00334,1.00933,1.07571
1.43361,1.00308,1.00924,1.07533
1.43336,1.00283,1.00915,1.07495
1.43310,1.00258,1.00907,1.07458
1.43284,1.00233,1.00900,1.07421
1.43259,1.00208,1.00893,1.07384
1.43233,1.00183,1.00886,1.07348
1.43431,1.00535,2.75952,2.01278
1.43576,1.00882,2.67924,1.97371
1.43718,1.01227,2.65980,1.96707
1.43857,1.01568,2.64961,1.96533
1.43995,1.01906,2.63963,1.96367
1.43951,1.01858,0.96428,1.06390
1.43920,1.01811,0.97346,1.06835
1.43890,1.01765,0.97694,1.06973
1.43861,1.01720,0.98004,1.07093
1.43832,1.01675,0.98215,1.07160
1.43803,1.01631,0.98311,1.07166
1.43774,1.01588,0.98371,1.07153
1.43745,1.01545,0.98413,1.07130
1.43716,1.01502,0.98450,1.07106
1.43688,1.01460,0.98490,1.07083
1.43659,1.01418,0.98314,1.06945
1.43631,1.01376,0.98283,1.06884
1.43602,1.01335,0.98318,1.06859
1.43573,1.01293,0.98382,1.06849
1.43545,1.01253,0.98419,1.06826
1.43516,1.01212,0.98465,1.06807
1.43488,1.01172,0.98524,1.06795
1.43460,1.01133,0.98583,1.06784
1.43431,1.01094,0.98646,1.06775
1.43403,1.01055,0.98710,1.06768
1.43375,1.01017,0.98780,1.06763
1.43347,1.00979,0.98849,1.06759
1.43319,1.00942,0.98919,1.06755
1.43292,1.00905,0.98985,1.06750
1.43264,1.00868,0.99057,1.06747
1.43236,1.00832,0.99127,1.06745
1.43209,1.00797,0.99196,1.06742
1.43181,1.00761,0.99271,1.06742
1.43154,1.00727,0.99339,1.06739
1.43127,1.00693,0.99409,1.06737
1.43100,1.00659,0.99473,1.06733
1.43073,1.00626,0.99539,1.06730
1.43046,1.00593,0.99600,1.06724
1.43019,1.00560,0.99662,1.06720
1.42993,1.00528,0.99720,1.06713
1.42966,1.00497,0.99778,1.06707
1.42939,1.00465,0.99836,1.06701
1.42913,1.00435,0.99889,1.06693
1.42887,1.00404,0.99942,1.06685
1.42860,1.00374,0.99994,1.06676
1.42834,1.00345,1.00043,1.06667
1.42808,1.00316,1.00091,1.06657
1.42782,1.00287,0.99907,1.06524
1.42755,1.00258,0.99847,1.06456
1.42729,1.00229,0.99854,1.06425
1.42703,1.00200,0.99898,1.06412
1.42677,1.00171,0.99953,1.06407
1.42651,1.00143,1.00013,1.06404
1.42625,1.00115,1.00072,1.06401
1.42599,1.00088,1.00127,1.06395
1.42573,1.00061,1.00179,1.06389
1.42547,1.00035,1.00230,1.06382
1.42521,1.00009,1.00279,1.06375
1.42496,0.99983,1.00321,1.06364
1.42470,0.99957,1.00363,1.06353
1.42444,0.99932,1.00402,1.06341
1.42419,0.99908,1.00439,1.06328
1.42394,0.99883,1.00474,1.06315
1.42368,0.99859,1.00508,1.06300
1.42343,0.99835,1.00535,1.06283
1.42318,0.99812,1.00562,1.06266
1.42292,0.99788,1.00588,1.06248
1.42267,0.99765,1.00612,1.06229
1.42242,0.99743,1.00635,1.06210
1.42217,0.99720,1.00656,1.06190
1.42192,0.99698,1.00676,1.06170
1.42167,0.99676,1.00694,1.06149
1.42142,0.99655,1.00711,1.06127
1.42117,0.99633,1.00727,1.06105
1.42093,0.99612,1.00741,1.06082
1.42068,0.99591,1.00754,1.06059
1.42043,0.99570,1.00766,1.06036
1.42018,0.99549,1.00777,1.06011
1.41993,0.99529,1.00786,1.05987
1.41969,0.99509,1.00819,1.05974
1.41944,0.99489,1.00839,1.05956
1.41920,0.99469,1.00853,1.05934
1.41895,0.99449,1.00864,1.05911
1.41870,0.99430,1.00872,1.05886
1.41846,0.99411,1.00879,1.05861
1.41821,0.99392,1.00885,1.05835
1.41797,0.99373,1.00890,1.05809
