f(Cortisol),g(Epinephrine),h(CRH),Arousal
1.50077,1.48957,0.80095,1.28450
1.50020,1.48602,0.81273,1.28863
1.49965,1.48249,0.82384,1.29240
1.49912,1.47899,0.83653,1.29708
1.49860,1.47552,0.84876,1.30154
1.49809,1.47208,0.85652,1.30351
1.49760,1.46866,0.86695,1.30699
1.49712,1.46527,0.87413,1.30869
1.49665,1.46191,0.88369,1.31174
1.49618,1.45857,0.89010,1.31305
1.49573,1.45526,0.89860,1.31555
1.49529,1.45197,0.90495,1.31686
1.49485,1.44871,0.91251,1.31887
1.49443,1.44548,0.91931,1.32048
1.49401,1.44226,0.92716,1.32270
1.49360,1.43908,0.93260,1.32359
1.49320,1.43591,0.93899,1.32503
1.49280,1.43277,0.94597,1.32682
1.49242,1.42966,0.94976,1.32684
1.49204,1.42657,0.95513,1.32777
1.49166,1.42350,0.96138,1.32920
1.49129,1.42045,0.96545,1.32944
1.49093,1.41743,0.97101,1.33052
1.49057,1.41443,0.97712,1.33193
1.49022,1.41147,0.98151,1.33241
1.48988,1.40853,0.98693,1.33347
1.48954,1.40562,0.99269,1.33475
1.48921,1.40274,0.99837,1.33601
1.48888,1.39990,1.00288,1.33664
1.48856,1.39708,1.00797,1.33761
1.48825,1.39430,1.01321,1.33869
1.48794,1.39155,1.01831,1.33972
1.48764,1.38884,1.02317,1.34063
1.48734,1.38616,1.02574,1.34030
1.48705,1.38350,1.02927,1.34051
1.48676,1.38087,1.03312,1.34093
1.48647,1.37827,1.03695,1.34134
1.48619,1.37570,1.04059,1.34168
1.48591,1.37316,1.04399,1.34191
1.48564,1.37065,1.04712,1.34200
1.48537,1.36817,1.05088,1.34246
1.48511,1.36573,1.05197,1.34146
1.48484,1.36330,1.05394,1.34096
1.48458,1.36089,1.05622,1.34065
1.48433,1.35850,1.05853,1.34037
1.48407,1.35613,1.06072,1.34004
1.48382,1.35380,1.06273,1.33962
1.48357,1.35148,1.06453,1.33911
1.48332,1.34919,1.06616,1.33851
1.48307,1.34692,1.06756,1.33780
1.48283,1.34467,1.06973,1.33753
1.48259,1.34245,1.07127,1.33693
1.48235,1.34026,1.07243,1.33614
1.48211,1.33808,1.07332,1.33521
1.48187,1.33593,1.07401,1.33417
1.48163,1.33379,1.07455,1.33307
1.48140,1.33166,1.07495,1.33190
1.48116,1.32956,1.07525,1.33068
1.48093,1.32747,1.07368,1.32844
1.48069,1.32538,1.07430,1.32741
1.48046,1.32330,1.07504,1.32646
