f(Cortisol),g(Epinephrine),h(CRH),Arousal
1.15880,1.00926,1.78796,1.62071
1.15947,1.00933,1.79465,1.62557
1.15947,1.00933,1.79465,1.62557
1.16015,1.00941,1.80307,1.63145
1.16015,1.00941,1.80307,1.63145
1.16083,1.00948,1.80204,1.63186
1.16083,1.00948,1.80204,1.63186
1.16151,1.00956,1.80090,1.63219
1.16151,1.00956,1.80090,1.63219
1.28733,1.01842,2.16966,2.05205
1.28733,1.01842,2.16966,2.05205
1.28831,1.01843,2.20663,2.07744
1.28831,1.01843,2.20663,2.07744
1.28932,1.01844,2.20636,2.07890
1.28932,1.01844,2.20636,2.07890
1.29033,1.01845,2.18980,2.06985
1.29033,1.01845,2.18980,2.06985
1.29132,1.01846,2.17037,2.05889
1.29132,1.01846,2.17037,2.05889
1.44723,1.01765,1.91361,2.12110
1.44723,1.01765,1.91361,2.12110
1.44795,1.01764,2.09548,2.25381
1.44795,1.01764,2.09548,2.25381
1.44879,1.01763,2.13256,2.28197
1.44879,1.01763,2.13256,2.28197
1.44965,1.01762,2.13185,2.28281
1.44965,1.01762,2.13185,2.28281
1.45052,1.01761,2.13021,2.28298
1.45052,1.01761,2.13021,2.28298
1.57842,1.01598,1.96369,2.35157
1.57842,1.01598,1.96369,2.35157
1.57908,1.01597,2.05326,2.42325
1.57908,1.01597,2.05326,2.42325
1.68077,1.01531,1.83660,2.39667
1.68077,1.01531,1.83660,2.39667
1.68098,1.01531,1.83237,2.39341
1.68098,1.01531,1.83237,2.39341
1.68176,1.01530,2.03347,2.56363
1.68176,1.01530,2.03347,2.56363
1.68238,1.01530,2.03940,2.56956
1.68238,1.01530,2.03940,2.56956
1.76643,1.01474,1.83279,2.51495
1.76643,1.01474,1.83279,2.51495
1.76712,1.01473,2.03526,2.69482
1.76712,1.01473,2.03526,2.69482
1.76712,1.01473,2.03526,2.69482
1.76712,1.01473,2.03526,2.69482
1.76796,1.01472,2.02098,2.68346
1.76796,1.01472,2.02098,2.68346
1.76849,1.01471,1.99857,2.66445
1.76849,1.01471,1.99857,2.66445
1.83436,1.01374,1.92627,2.69647
1.83436,1.01374,1.92627,2.69647
1.83478,1.01374,2.00051,2.76520
1.83478,1.01374,2.00051,2.76520
1.83525,1.01373,2.00289,2.76808
1.83525,1.01373,2.00289,2.76808
1.89179,1.01208,1.75107,2.61359
1.89179,1.01208,1.75107,2.61359
1.89179,1.01208,1.75107,2.61359
1.89179,1.01208,1.75107,2.61359
1.89220,1.01206,1.95931,2.81116
1.89220,1.01206,1.95931,2.81116
1.93379,1.01068,1.89332,2.80780
1.93379,1.01068,1.89332,2.80780
1.93409,1.01068,1.95344,2.86636
1.93409,1.01068,1.95344,2.86636
1.93442,1.01067,1.95018,2.86368
1.93442,1.01067,1.95018,2.86368
1.96841,1.00920,1.78722,2.75215
1.96841,1.00920,1.78722,2.75215
1.96860,1.00918,1.95857,2.92106
1.96860,1.00918,1.95857,2.92106
1.96907,1.00917,1.96034,2.92349
1.96907,1.00917,1.96034,2.92349
1.96907,1.00917,1.96034,2.92349
1.96907,1.00917,1.96034,2.92349
1.96937,1.00916,1.93879,2.90270
1.96937,1.00916,1.93879,2.90270
1.99600,1.00747,1.88674,2.88831
1.99600,1.00747,1.88674,2.88831
1.99600,1.00747,1.88674,2.88831
1.99600,1.00747,1.88674,2.88831
1.99637,1.00745,1.95131,2.95327
1.99637,1.00745,1.95131,2.95327
1.99637,1.00745,1.95131,2.95327
1.99637,1.00745,1.95131,2.95327
2.01791,1.00579,1.75929,2.78970
2.01791,1.00579,1.75929,2.78970
2.01791,1.00579,1.75929,2.78970
2.01791,1.00579,1.75929,2.78970
2.01813,1.00577,1.93236,2.96462
2.01813,1.00577,1.93236,2.96462
2.01835,1.00576,1.92708,2.95962
2.01835,1.00576,1.92708,2.95962
2.01857,1.00575,1.90759,2.94026
2.01857,1.00575,1.90759,2.94026
2.03492,1.00419,1.74055,2.79251
2.03492,1.00419,1.74055,2.79251
2.03492,1.00419,1.74055,2.79251
2.03492,1.00419,1.74055,2.79251
2.03493,1.00418,1.85462,2.90858
2.03493,1.00418,1.85462,2.90858
2.03500,1.00418,1.89978,2.95462
2.03500,1.00418,1.89978,2.95462
2.03509,1.00417,1.91056,2.96571
2.03509,1.00417,1.91056,2.96571
2.03537,1.00416,1.89736,2.95266
2.03537,1.00416,1.89736,2.95266
2.03537,1.00416,1.89736,2.95266
2.03537,1.00416,1.89736,2.95266
2.03545,1.00415,1.88790,2.94316
2.03545,1.00415,1.88790,2.94316
2.04541,1.00280,1.73332,2.79807
2.04541,1.00280,1.73332,2.79807
2.04554,1.00278,1.89482,2.96340
2.04554,1.00278,1.89482,2.96340
2.04562,1.00278,1.89449,2.96317
2.04562,1.00278,1.89449,2.96317
2.04639,1.00170,1.47912,2.53817
2.04639,1.00170,1.47912,2.53817
2.04618,1.00170,1.55292,2.61341
2.04618,1.00170,1.55292,2.61341
2.04444,1.00170,1.93467,3.00138
2.04444,1.00170,1.93467,3.00138
2.04463,1.00169,1.93793,3.00497
2.04463,1.00169,1.93793,3.00497
2.04481,1.00168,1.91596,2.98276
2.04481,1.00168,1.91596,2.98276
2.04797,0.99987,1.82167,2.88895
2.04797,0.99987,1.82167,2.88895
