f(Cortisol),g(Epinephrine),h(CRH),Arousal
1.15880,1.00926,1.78796,1.62071
1.15947,1.00933,1.79465,1.62557
1.15947,1.00933,1.79465,1.62557
1.16015,1.00941,1.80307,1.63145
1.16015,1.00941,1.80307,1.63145
1.28570,1.01839,2.09593,2.00204
1.28570,1.01839,2.09593,2.00204
1.28664,1.01840,2.18803,2.06276
1.28664,1.01840,2.18803,2.06276
1.28764,1.01841,2.20376,2.07449
1.28764,1.01841,2.20376,2.07449
1.28865,1.01842,2.19634,2.07134
1.28865,1.01842,2.19634,2.07134
1.44498,1.01770,2.00564,2.18433
1.44498,1.01770,2.00564,2.18433
1.44576,1.01769,2.09943,2.25330
1.44576,1.01769,2.09943,2.25330
1.44660,1.01768,2.11953,2.26914
1.44660,1.01768,2.11953,2.26914
1.57908,1.01601,2.09683,2.45771
1.57908,1.01601,2.09683,2.45771
1.57946,1.01601,2.11209,2.47034
1.57946,1.01601,2.11209,2.47034
1.58061,1.01600,2.10526,2.46674
1.58061,1.01600,2.10526,2.46674
1.58137,1.01599,2.08508,2.45195
1.58137,1.01599,2.08508,2.45195
1.68426,1.01516,1.95727,2.50315
1.68426,1.01516,1.95727,2.50315
1.68483,1.01516,2.03226,2.56717
1.68483,1.01516,2.03226,2.56717
1.68545,1.01516,2.04041,2.57499
1.68545,1.01516,2.04041,2.57499
1.68607,1.01515,2.02946,2.56670
1.68607,1.01515,2.02946,2.56670
1.76788,1.01477,1.79627,2.48477
1.76788,1.01477,1.79627,2.48477
1.76841,1.01477,1.97180,2.64070
1.76841,1.01477,1.97180,2.64070
1.76891,1.01476,1.99637,2.66318
1.76891,1.01476,1.99637,2.66318
1.76943,1.01476,1.99076,2.65899
1.76943,1.01476,1.99076,2.65899
1.76943,1.01476,1.99076,2.65899
1.76943,1.01476,1.99076,2.65899
1.83646,1.01390,1.78307,2.56822
1.83646,1.01390,1.78307,2.56822
1.83677,1.01389,1.97088,2.74113
1.83677,1.01389,1.97088,2.74113
1.83677,1.01389,1.97088,2.74113
1.83677,1.01389,1.97088,2.74113
1.83699,1.01389,1.98743,2.75666
1.83699,1.01389,1.98743,2.75666
1.83767,1.01388,1.98433,2.75482
1.83767,1.01388,1.98433,2.75482
1.83812,1.01387,1.96749,2.74000
1.83812,1.01387,1.96749,2.74000
1.89009,1.01254,1.88728,2.74041
1.89009,1.01254,1.88728,2.74041
1.89042,1.01254,1.95506,2.80495
1.89042,1.01254,1.95506,2.80495
1.89042,1.01254,1.95506,2.80495
1.89042,1.01254,1.95506,2.80495
1.89042,1.01254,1.95506,2.80495
1.89042,1.01254,1.95506,2.80495
1.89099,1.01252,1.95092,2.80186
1.89099,1.01252,1.95092,2.80186
1.93283,1.01117,1.78375,2.70098
1.93283,1.01117,1.78375,2.70098
1.93313,1.01116,1.94170,2.85405
1.93313,1.01116,1.94170,2.85405
1.93346,1.01115,1.95434,2.86674
1.93346,1.01115,1.95434,2.86674
1.96782,1.00954,1.76882,2.73356
1.96782,1.00954,1.76882,2.73356
1.96799,1.00953,1.92588,2.88834
1.96799,1.00953,1.92588,2.88834
1.96827,1.00952,1.93555,2.89825
1.96827,1.00952,1.93555,2.89825
1.96827,1.00952,1.93555,2.89825
1.96827,1.00952,1.93555,2.89825
1.96827,1.00952,1.93555,2.89825
1.96827,1.00952,1.93555,2.89825
1.96827,1.00952,1.93555,2.89825
1.96827,1.00952,1.93555,2.89825
1.96868,1.00950,1.91019,2.87388
1.96868,1.00950,1.91019,2.87388
1.99385,1.00792,1.75948,2.75878
1.99385,1.00792,1.75948,2.75878
1.99393,1.00791,1.86663,2.86570
1.99393,1.00791,1.86663,2.86570
1.99393,1.00791,1.86663,2.86570
1.99393,1.00791,1.86663,2.86570
1.99393,1.00791,1.86663,2.86570
1.99393,1.00791,1.86663,2.86570
1.99393,1.00791,1.86663,2.86570
1.99393,1.00791,1.86663,2.86570
1.99426,1.00789,1.92461,2.92398
1.99426,1.00789,1.92461,2.92398
1.99450,1.00788,1.91067,2.91042
1.99450,1.00788,1.91067,2.91042
2.01472,1.00638,1.94622,2.97419
2.01472,1.00638,1.94622,2.97419
2.01496,1.00637,1.95124,2.97960
2.01496,1.00637,1.95124,2.97960
2.03178,1.00467,1.74839,2.79664
2.03178,1.00467,1.74839,2.79664
2.03187,1.00466,1.91143,2.96239
2.03187,1.00466,1.91143,2.96239
2.03206,1.00465,1.92341,2.97484
2.03206,1.00465,1.92341,2.97484
2.03226,1.00464,1.90942,2.96090
2.03226,1.00464,1.90942,2.96090
2.04472,1.00306,1.85436,2.92113
2.04472,1.00306,1.85436,2.92113
2.04472,1.00306,1.85436,2.92113
2.04472,1.00306,1.85436,2.92113
2.04495,1.00305,1.90480,2.97302
2.04495,1.00305,1.90480,2.97302
2.04512,1.00304,1.88921,2.95730
2.04512,1.00304,1.88921,2.95730
2.04512,1.00304,1.88921,2.95730
2.04512,1.00304,1.88921,2.95730
2.04533,1.00302,1.85774,2.92542
2.04533,1.00302,1.85774,2.92542
2.05236,1.00170,1.85467,2.93094
2.05236,1.00170,1.85467,2.93094
2.05250,1.00169,1.90250,2.98020
2.05250,1.00169,1.90250,2.98020
2.05677,1.00063,1.70202,2.77914
2.05677,1.00063,1.70202,2.77914
